BL_nbr                                 Cant
 
MSCUDT670793               9
SMLU3475744A                5
SMLU3487388A                4
SMLU3491910A                4
SMLU3491910A                4
SMLU3491910A                4
NA2409346         4
SMLU3479108A                3
MSCUJ3413745 3
EGLV480300052514        3
MIARIH03571    3
ESTARDOHAIAGE131412              3
SUDU231595078061       3
SMLU3484429A                3
MSCUJ3413745 3
MSCUTP616513               3
SMLU3492844A                3
NA4391430         3
ESTARDOHAIAGE131471              3
MSCUJ3413745 3
SJON3M001436                3
SMLU3477939B 3
MSCUTP616570               2
NA2421532         2
EGLV142300873753        2
EGLV478323507664        2
EGLV478323507664        2
SMLU3434085A                2
AMLU1020066067           2
JAXS3M168568 2
JAXS3M169325 2
COSS3M328202                2
COSS3M326528                2
COSS3M328228                2
MIARIH03589    2
MIARIH03627    2
MIARIH03477    2
MSCUDT713965               2
MSCUDT670520               2
MSCUE5196653                2
SMLU3468951A                2
SMLU3479726A                2
SMLU3479726A                2
ITVDLDOHAIAGI130905                2
SMLU3485005A                2
SMLU3477947B 2
SMLU3492358A                2
MSCUTP616570               2
APLU067291102               2
IN1932196          2
NA2416628         2
ITVDLDOHAIAGI130823                2
APLU904027272               2
SMLU3471786A                2
MSCUHI358014 2
SMLU3500349A                2
SMLU3495970A                2
SMLU3485546A                2
SMLU3496684A003         2
SMLU3499466A                2
NA2418834         2
SMLU3466603A                2
AMLU1020066166           2
AMLU1020065855           2
MIARIH03491    2
SMLU3492845A                2
ITVDLDOHAIAGI130913                2
NA2420203         2
MSCUTP611803               2
ESTARDOHAIAGE131425              2
ITVDLDOHAIAGI130911                2
SMLU3480411A                2
SMLU3494609A                2
SMLU3484323A                2
SMLU3466603A                2
APLU904027309               2
EGLV476300033155        2
EGLV476300031497        2
SMLU3499466A                2
MSCUTP616786               2
ESTARDOHAIAGE131451              2
MSCUTP616570               2
SUDU231595202038       2
ESTARDOHAIAGE131438              2
MSCUTP616570               2
MSCUQ2302118               2
MSCUL7947173 2
ESTARDOHAIAGE131446              2
SMLU3479726A                2
SMLU3489831A                2
NA4389177         2
GTG0172976      2
JAXS3M168545 2
AMLU1020065943           2
APLU077715018               2
APLU067291102               2
EGLV476300031497        2
EGLV156300247275        2
MSCUTP616570               2
ESTARDOHAIAGE131272              2
JAXS3M169181 2
SMLU3497084A                2
SMLU3480232A                2
IN1932196          2
APLU904027250               2
EGLV143386699356        2
SMLU3493620A                2
SMLU3484711A                2
SMLU3483728A                2
SMLU3480965A                2
SMLU3495877A                2
IN1932196          2
NA2419649         2
IN1932196          2
EGLV143381788288        2
EGLV476300033155        2
AMLU1020066232           2
EGLV476300031497        2
AMLU1020066080           2
AMLU1020066073           2
APLU904027060               2
APLU900246491               2
APLU065965530               2
APLU077715017               2
APLU066852781               2
APLU077299443               2
APLU904027124               2
IN1932196          2
COSS3M325990                2
AMLU1020066099           2
SMLU3494023A                2
SMLU3499466A                2
SMLU3498340A                2
SMLU3478919A                2
EGLV476300031497        2
MSCUVG632242              2
EGLV476300031497        2
SMLU3479726A                2
SMLU3486179A                2
MIARIH03636    2
SUDU730016633031       2
NA2416628         2
EGLV425300284111        2
MSCUDT670520               2
MSCUQ2296880               2
MSCUDS958520               2
EGLV764300007290        2
SMLU3483782A                2
ESTARDOHAIAGE131478              2
ZIMUCRT0011549            2
MIARIH03654    2
NA2420233         2
SMLU3497084A                2
NA2409808         2
AMLU1020066157           2
MIARIH03542    2
EGLV480300052531        2
ZIMUIAU0008807            2
SMLU3473717A                2
SMLU3479726A                2
SMLU3492037A                2
SMLU3490779A                2
MSCUM7883905              2
SMLU3484139A                2
SMLU3498340A                2
IN1932196          2
MSCUZA106286               2
IN1932196          2
ANT0857181      2
NA2419497         2
EGLV476300032604        2
EGLV741300018535        2
SMLU3496684A002         2
MIARIH03534    2
AMLU1020066150           2
SMLU3479726A                2
SMLU3467882A                2
SMLU3479726A                2
ESTARDOHAIAGE131472              2
SMLU3484500A                2
SMLU3479726A                2
SMLU3489342A                2
SMLU3499792A                2
EGLV478323507664        2
EGLV143380766329        2
SMLU3496780A                2
ZIMUSNH4176551           2
EGLV480300052549        2
ESTARDOHAIAGE131468              2
MSCUMA495672             2
ESTARDOHAIAGE131472              2
MIARIH03623    2
EGLV476300031497        2
MSCUGP456986              2
MSCUMJ455197              2
MSCUTP615655               2
MSCUTP612686               2
MSCUVG617896              2
SMLU3493661A                2
APLU900246497               2
APLU063639939               2
APLU053437184               2
APLU077299443               2
IN1932196          2
ESTARDOHAIAGE131410              2
SMLU3499097A                2
MSCUVI407759 2
COSS3M328138                2
SMLU3493572A                2
SMLU3492964A                2
SMLU3494609A                2
SMLU3466031A                2
MSCUDT670520               2
MSCUTP612686               2
APLU900246497               2
ZIMUCRT0011548            2
ZIMUGOA315299            2
SMLU3494977A                2
NA2419649         2
APLU067361225               2
IN1932196          2
AMLU1020066159           2
APLU065700640               2
NULL     2
SUDU231595202001       2
APLU063639939               2
SMLU3479726A                2
EGLV476300033155        2
ITVDLDOHAIAGI130904                2
SMLU3498340A                2
SMLU3498340A                2
SMLU3480411A                2
SMLU3485005A                2
SMLU3494609A                2
CNSE314033       2
IN1932196          2
NA2419731         2
EGLV476300031497        2
EGLV050300553656        2
EGLV140396008777        2
EGLV480300051500        2
SMLU3501016A                2
SMLU3496684A                2
SMLU3492995A                2
MSCUOE893505               2
EGLV476300031497        2
EGLV476300031497        2
AMLU1020066156           2
ZIMUIAU0008807            2
NA2419622         2
EGLV476300031497        2
MSCUVG617896              2
ESTARDOHAIAGE131373              2
ITVDLDOHAIAGI130904                2
YMLUL971000761            2
ZIMUSJU027985              2
ZIMUIAU0008807            2
SMLU3472339A                2
MSCUHI343081 2
MSCUDT670520               2
MSCUHI359822 2
EGLV476300033155        2
EGLV476300031497        2
AMLU1020066224           2
NA2415824         2
MSCUCZ504253               2
EGLV761300011683        2
SMLU3494023A                2
SMLU3485005A                2
AMLU1020066094           2
APLU077383204               2
APLU904027060               2
APLU063639939               2
APLU077299443               2
NA4390847         2
ZIMUTRG0024495           2
SMLU3496257A                2
ZIMUIAU0008807            2
ESTARDOHAIAGE131295              2
SMLU3479726A                2
SMLU3482849A                2
SJON3M001469                2
SMLU3478919A                2
COSS3M328179                2
NA4388509         2
COSS3M325480                2
JAXS3M167597 2
JAXS3M168817 2
COSS3M324876                2
JAXS3M167605 2
ESTARDOHAIAGE131474              2
MSCUTP612686               2
MSCUTP616570               2
EGLV480300048541        2
EGLV480300051186        2
SMLU3489993A                2
APLU900246491               2
SJON3M001582                2
NA2418391         2
NA2416628         2
APLU065965626               2
SMLU3499211A                2
ESTARDOHAIAGE131438              2
SJON3M001581                2
SMLU3492358A                2
SMLU3492367A                2
MSCUQ2302118               2
ESTARDOHAIAGE131364              2
MIARIH03479    2
MIARIH03624    2
MSCUMJ446782              2
MSCUVG617896              2
MSCUDT670520               2
MSCUGJ132211               2
MSCUTP612686               2
MSCUTP616463               2
EGLV476300033023        2
ESTARDOHAIAGE131473              2
SMLU3499760A                2
SMLU3480411A                2
SMLU3477700A                2
SMLU3499466A                2
NA4390244         2
MSCUGJ182042               2
MIARIH03641    2
SUDUN34049473025      2
EGLV140396008530        2
MSCUHI358014 2
JAXS3M169627 2
ESTARDOHAIAGE131434              2
MIARIH03573    2
MIARIH03631    2
EGLV080300199447        2
MSCUTP616570               2
MSCUTP616570               2
MSCUTP616570               2
MSCUTP616570               2
EGLV476300031497        2
NA2419731         2
EGLV480300052310        2
SMLU3496257A                2
SMLU3498340A                2
NA2416628         2
SMLU3496257A                2
SMLU3491703A                2
MSCUTP612462               2
APLU904027147               2
EGLV480300052182        2
EGLV476300033155        2
SMLU3499687A                2
NA2419649         2
JAXS3M168544 2
ESTARDOHAIAGE131461              2
SMLU3491670A                2
SMLU3481091A                2
SMLU3497084A                2
SMLU3494978A                2
SMLU3494976A                2
SMLU3487174A                2
SMLU3489332A                2
SMLU3484500A                2
SMLU3466603A                2
SMLU3499466A                2
MIARIH03644    2
NA2417085         2
EGLV741360006363        2
MIARIH03593    2
EGLV476300031497        2
MSCUHI312664 2
ZIMUIAU0008807            2
EGLV476300033155        2
IN1932196          2
NA2420233         2
NA2418291         2
ESTARDOHAIAGE131469              2
